agent_id,display_name,approach,deck_archetype,decision_style,key_cards,notable_techniques,reusable_ideas,weaknesses,has_learned_weights,uses_search,deck_source,total_lines,is_duplicate,loads_ok,rank,win_rate
a_sample_agent_raging_bolt_ex_de_1781877645637,A sample agent - Raging Bolt ex deck,rule-based/heuristic,"Raging Bolt ex主体(Teal Mask Ogerpon ex/Latias/Terapagos/Mega Kangaskhan ex混成,闘雷草超)",カード名を価値表で固定スコア化しplay_priority等を行動種別ごとに段階適用するargmax,"Raging Bolt ex(63),Teal Mask Ogerpon ex(96),Boss Orders,Ultra Ball","エネ種別×対象ポケの相性表でエネ貼り最適化,HP50以下回避,Ultra Ball手札枚数ゲート,context別フォールバック","エネルギー相性スコア表,手札枚数/エネ数に応じた条件付きトレーナー使用ゲート","カードID表固定で未知カードUNKNOWN化,攻撃は常にoptions末尾を選ぶ雑処理,進化未対応",0,0,deck.csv読込,742,0,1,,
a_sample_rule_based_agent_dragap_1781877645226,A Sample Rule-Based Agent Dragapult ex Deck,rule-based/heuristic,"ドラパルトex(Dreepy119/Drakloak120/Dragapult ex121,Budew/Latias/Meowth)","各選択肢を巨大定数スコア化→argmax,Phantom Diveのダメカン分配を再帰列挙で最適化","Dragapult ex(121),Phantom Dive(154),Rare Candy,Unfair Stamp,Fezandipiti ex,Boss","山札追跡でprize推定,Phantom Dive6ダメカンの複数気絶DP,KO即取り50000固定,相手免疫(Crustle)判定","山札追跡prize/残デッキ推定,複数KO配置の全探索,no_damage判定,support重複防止","デッキ完全ハードコード,探索なし1ply貪欲,相手手札非考慮,例外処理皆無で未知局面クラッシュ懸念",0,0,deck.csv読込,853,0,1,,
a_sample_rule_based_agent_dragap_1781877645724,A Sample Rule-Based Agent Dragapult ex Deck,rule-based/heuristic,"ドラパルトex(Dreepy119/Drakloak120/Dragapult ex121,Budew/Latias ex/Meowth ex)","各選択肢を巨大定数スコア化→argmax,Phantom Diveのベンチダメカン分配を再帰列挙で最適化","Dragapult ex(121),Phantom Dive(154),Rare Candy,Boss,Unfair Stamp,Fezandipiti ex","山札残数推定(prize/serial追跡),ログからのpre_KO検出,複数KO配置の最適化,免疫(Crustle)判定","デッキ枚数トラッキング,Phantom Diveダメカン分配の貪欲列挙,ログ駆動の盤面状態推定","スコア定数が全面ハードコードで脆い,特定ID依存,例外処理皆無で未知局面クラッシュ懸念",0,0,deck.csv読込,853,0,1,,
a_sample_rule_based_agent_iono_s_1781877645280,A Sample Rule-Based Agent Iono's Deck,rule-based/heuristic,Iono Bellibolt ex/Kilowattrelエネ加速ライトニング型,"全選択肢をスコア化→降順にmaxCount件返す1ply貪欲,手札もスコア付けし不要札判定","Voltorb(265),Bellibolt ex(269),Kilowattrel(271),Max Rod(1110),Levincia(1254)","手札スコアで破棄/探索価値を一括管理,盤面枚数で進化ライン重複抑制,no_draw時のデッキ枯渇配慮","手札スコア表で破棄候補と探索価値を一括管理,op_active_hp比較で打点足りるか先読み,重複ペナルティ","try防御なしで例外投了リスク,先後選択処理が明示的に無い,攻撃選択がattackId昇順依存で打点比較なし",0,0,deck.csv読込,415,0,1,,
a_sample_rule_based_agent_mega_a_1781877645315,A Sample Rule-Based Agent Mega Abomasnow ex Deck,rule-based/heuristic,"メガアバゴーラex(Snover722→Abomasnow723→Mega721,Kyogreサブ,水34)",全選択肢を文脈別ヒューリスティックでスコア化→降順にmaxCount選択,"Mega Abomasnow ex(723),Snover(722),Kyogre(721),Ultra Ball(1121)","相手active HP≦トラッシュ水エネ×20でKyogreにKO切替,Riptide/Hammer打ち分け,重複手札の優先トラッシュ","トラッシュ枚数を打点換算しアタッカー動的選択,PLAY系を大スコア＋条件減点する優先制御","先攻後攻処理が薄く相手デッキ非依存,巨大固定スコア多用で汎用性低い,特性連携が限定的",0,0,deck.csv読込,267,0,1,,
a_sample_rule_based_agent_mega_l_1781877645196,A Sample Rule-Based Agent Mega Lucario ex Deck,rule-based/heuristic,"メガルカリオex(Riolu→Mega Lucario ex主軸,Hariyama/Solrock補助,闘13)","全選択肢をcontext別ヒューリスティックでスコア化→argmax,MAIN時に攻撃プランを先に算出し反映","Mega Lucario ex(678),Hariyama(674),Solrock(676),Boss,Carmine/Lillie","攻撃前にattacker×target×技を全探索しplanをグローバル保持,弱点×2/抵抗-30,prize_countでKO価値評価","AttackPlan事前計算→各選択肢へ加点,prize_count(megaEx/ex/Legacy/Lillie考慮),相手ポケ脅威度のpokemon_score化","カードID完全ハードコードで自デッキ専用,相手特性(Crustle)無対応で無効ex攻撃に突っ込む,探索なし1ply",0,0,deck.csv読込,508,0,1,,
battle_simulator_given_2_agents__1781877645423,Battle Simulator given 2 agents and 2 decks,rule-based/heuristic,Dragapult ex(Dreepy119/Drakloak120/Dragapult ex121)＋末尾にMega Lucario ex agent連結,"各選択肢を巨大スコア表でargmax,ターン頭に最適アタックプラン探索しplan駆動","Dragapult ex(121),Budew,Boss Orders,Crushing Hammer,Rare Candy","2agent対戦シミュレータ本体同梱,ダメージ無効相手の除外表,Phantom Diveのベンチカウンター配置可否判定","自己対戦評価ハーネス,ダメージ無効ポケ除外テーブル,ベンチダメカン配置ロジック","line2926にCLI説明文混入で構文エラー,1ファイルに3部品連結で壊れ,読込不可",0,0,deck.csv読込,2932,0,0,,
beating_the_day_1_1_crustle_bot_1781877645274,Beating the Day-1 #1 Crustle Bot 🦀,rule-based/heuristic,Crustleウォール系(Hero Cape/Jumbo Ice/Cook/Cheren)耐久(deck.csv外部),固定優先順位の簡易スコア化→argmax(Attach1000>Evolve800>Play600>Ability400>Attack100),"Hero Cape(1159),Jumbo Ice(1147),Cook(1212),Cheren(1224),Battle Colosseum(1264)","回復系をHP損傷時のみ発動,エネ3枚条件,minCount/maxCount厳守の安全な出力整形","攻撃を最後に回す行動順テンプレ,回復カードの条件発動,サブ選択の汎用スコア","ロジック極薄150行で戦略性低い,攻撃ターゲット最適化なし,先攻後攻処理なし",0,0,deck.csv読込,151,0,1,3,71
beating_the_day_1_1_crustle_bot__1781877645614,Beating the Day-1 #1 Crustle Bot 🦀 780c4c,rule-based/heuristic,Crustleウォール(Dwebble344/Crustle345)+Jumbo Ice/Cook回復系の耐久,固定優先順位の単純スコア化→argmax(Attach>Evolve>Play>Ability>Attack),"Hero Cape(1159),Jumbo Ice(1147),Cook(1212),Cheren(1224),Battle Colosseum(1264)","回復カードを被ダメ時のみ発動,minCount/maxCountの安全な充足処理","被ダメ時のみ回復カードを切る条件付き発動,シンプルで堅牢な汎用スコアリング骨格","攻撃が最低優先度で能動的KO不可,相手盤面評価ほぼ無くBoss的確使用不可,対面適応なし",0,0,deck.csv読込,151,1,1,6,68
beating_the_day_2_new_1781877645653,Beating the Day-2 # New,rule-based/heuristic,"Crustleウォール(Dwebble/Crustle,Jumbo Ice/Hero Cape/Battle Cage)耐久回復型","スコア=固定優先順位(ATTACH>EVOLVE>PLAY>ABILITY>ATTACK>END>RETREAT),全体try防御","Crustle(345),Dwebble(344),Hero Cape(1159),Jumbo Ice(1147),Cook(1212)","完全クラッシュ防御で投了回避,ベンチ空時に基本Pokemon優先,回復は損傷時のみ,捨札は基本エネ優先","全body try-guard＋legal_fallbackで絶対落ちない設計,ベンチ保険ロジック,context分類辞書","攻撃が常に最下位帯で受け身過ぎ,打点最大化が弱くKO狙い以外消極的,メタ依存の固定優先",0,0,deck.csv読込,480,0,1,4,69
beginner_guide_from_deck_list_to_1781877645214,[Beginner Guide] From Deck List to First Valid Sub,rule-based/heuristic,"メガルカリオex(Riolu主軸,Hariyama/Makuhita/Solrock/Lunatone,闘13)","MAIN時に攻撃プランを全探索評価しplan保持,各選択肢を文脈別スコア化→argmax","Mega Lucario ex(678),Hariyama(674),Solrock(676),Boss,Hero Cape","prize_count(Legacy/Lillie補正),弱点抵抗計算,Bossでターゲット指定,Lunatone特性のターン内使用記憶",攻撃plan(attacker/target/index/remain_hp)を先決し後続attach/switch/retreatを整合させる二段構え,"グローバル状態とturn比較依存で例外時クラッシュ耐性なし,相手補正が乏しい,条件ハードコード",0,0,deck.csv読込,508,0,1,,
beginner_guide_from_deck_list_to_1781877645384,[Beginner Guide] From Deck List to First Valid Sub,rule-based/heuristic,メガルカリオex(上のサンプルと同一デッキ構成),"上のサンプルとほぼ完全同一コード(選択肢スコア化→argmax,AttackPlan事前算出型)","Mega Lucario ex(678),Hariyama(674),Solrock(676),Boss","サンプルと同じ攻撃全探索・弱点抵抗計算,pokemon_scoreの低評価IDが異なる","入門者向けに整理された雛形,デッキ読込→deck返却→context別スコア化の最小構成","サンプルの劣化/同等コピーで独自性ほぼ無し,ハードコード依存・探索なし・Crustle無対応",0,0,deck.csv読込,508,1,1,,
beginner_guide_from_deck_to_firs_1781877645580,[Beginner Guide] From Deck to First Valid Submiss,rule-based/heuristic,デッキ非依存(汎用ベースライン),"行動種別の固定優先順位(RETREAT>ATTACK>EVOLVE>ABILITY>ATTACH>PLAY>END),攻撃のみdamage/cost評価",特になし(カードID非ハードコード),"all_card/all_attackをキャッシュ,低HP時かつサイド有利のみ撤退,ACTIVEへエネ優先,不足時ランダム埋め","攻撃価値=damage/cost+damage*0.5の簡潔評価式,型別優先順位の最小実装テンプレ","単純で局面非考慮,弱点/抵抗未計算,サブ選択は概ね先頭/ランダムで質が低い",0,0,?,112,0,1,,
crustle_aware_mega_lucario_ex_an_1781877645527,Crustle-Aware Mega Lucario ex (anti-wall),rule-based/heuristic,"メガルカリオex(Riolu677/Mega Lucario ex678,Hariyama674,闘エネ)","Policyクラスで全選択肢スコア化→argmax,MAIN時に攻撃プランを全攻撃者×攻撃×標的で探索","Mega Lucario ex(678),Hariyama,Hero Cape,Boss,Gravity Mountain","Crustleがex無効化を認識しex攻撃-10000で回避,非exHariyamaへルート変更,crash-safe多重例外","相手アーキ検知→攻撃者ルート切替,prize/weakness/resistance計算,ターン行動上限でEND強制","デッキ固定でメガルカリオ専用,1ply貪欲,Crustle以外の壁は非対応,相手手札非考慮",0,0,deck.csv読込,606,0,1,7,68
crustle_wall_mirror_ok_1781877645464,Crustle Wall|Mirror OK,rule-based/heuristic,"Crustleウォール(Dwebble/Crustle)+Koraidon ex/Cornerstone Ogerpon ex/Munkidori,Mist Energy","全選択肢を文脈別スコア化→argmax,毎ターンattack_plan()で最良アタッカー×標的を事前計算","Crustle(345),Counter Gain(1168),Brave Bangle(1175),Mist Energy(11),Boss,Munkidori","弱点抵抗計算,Counter Gain条件付きエネ割引,low_deck閾値でデッキ切れ回避,ミラー対策の対Crustle加点","攻撃前計画attack_planとエネ要件判定,デッキ残8枚での行動抑制,ツール/エネ配置の的確スコア","エネ要件チェックがColorless扱いで近似,計画とスコアの二重管理で不整合余地,定数依存",0,0,ハードコード,899,0,1,,
dragapult_v3_tempo_ptcg_ai_battl_1781877645733,Dragapult v3 Tempo PTCG AI Battle Agent,rule-based/heuristic,"ドラパルトexテンポ型(Dreepy/Drakloak/Dragapult ex,Budew/Fezandipiti ex/Latias ex,炎超)","OOP設計の_DragapultPolicyで context別専用スコア関数へ分岐→argmax,YES/NO・COUNTは専用処理","Dragapult ex(121),Rare Candy,Budew(序盤妨害),Boss,Crispin","context毎の細分化スコア,setup_need/energy_need定量化,Phantom Dive盤面振り分け,後攻Budew先頭,二色エネ管理","context→専用scorerのディスパッチ表,setup_need/energy_needで状況数値化,Rare Candy×Dragapult手札連携検知","try防御が局所的のみで例外リスク,STYLEハードコード,探索なし1ply,ダメカン最適分配は近似的",0,0,?,663,0,1,,
ex_20260618_1781877645393,イワパレス対応 メガルカリオex 20260618,rule-based/heuristic,"メガルカリオex(イワパレス/Crustleウォール対策版,Hariyama対Crustle)","LucarioPolicyクラスで攻撃plan全探索＋文脈別スコア化,try/exceptで完全クラッシュ耐性","Mega Lucario ex(678),Hariyama(674),Crustle(345),Gravity Mountain,Boss","facing_crustle検知でex無効化を回避しHariyama軸へ誘導,Gravity Mountainをstage2/Crustleで高評価,暴走停止","相手アーキ検知(facing_crustle)でエネ振り/進化/打点先を動的切替,堅牢な例外処理と合法フォールバック","探索は単手plan止まりで多手読みなし,Crustle以外の対面適応は弱い,スコア閾値の手調整依存",0,0,deck.csv読込,606,1,1,8,68
frostwall_ptcg_ai_battle_strateg_1781877645686,FrostWall — PTCG AI Battle (Strategy Category),探索(MCTS等),"メガアバゴーラ/Kyogre水単(Snover722→Abomasnow723→Mega721,Kyogre140)","2層:L0=全SelectContext網羅の型付きヒューリスティック,L1=PIMC-1/SO-ISMCTS前方探索でMAINを再ランク","Mega Abomasnow ex(721),Kyogre(140),Wallys Compassion(回復),Boss","search_begin前方モデルで自ターン展開+相手1返し評価,相手信念プール,transposition+progressive widening,任意学習value head","context網羅choose()テンプレ,move_keyの手順非依存統計,転置キー,相手belief determinization,純Python value head","ISMCTSは予算薄く反復不足(PIMC-1常用),value重み未学習でヒューリスティック頼み,相手デッキは自デッキ流用の近似",0,1,deck.csv読込,1353,0,1,,
japanese_language_ex_1781920110974,[日本語(Japanese language)] ルールベースエージェントのメガルカリオexデッキ,rule-based/heuristic,"メガルカリオex(Riolu677/Mega Lucario ex678＋Hariyama/Solrock/Lunatone,闘単)","全選択肢を詳細スコア表でargmax,ターン頭にAttackPlanを探索しplan連動","Mega Lucario ex(678),Hariyama,Solrock+Lunatone連動,Boss Orders","弱点抵抗計算,サイド計算,先後でSolrock/Riolu出し分け,特性使用フラグ管理","plan→Switch/Boss/エネ貼りの連動加点設計,TO_HANDで重複/進化元考慮のサーチ評価","自デッキIDに強くハードコード,Crustle非対応,DISCARD等一部contextが未評価で0スコア",0,0,deck.csv読込,640,0,1,,
